key,EN text,current KM,issue tags,proposed KM,reviewer,status
"academyDateSelectionTopics","Tung Shu • Auspicious hours • Events & milestones","តុងស៊ូ (Tung Shu) • ម៉ោងហេង • ព្រឹត្តិការណ៍ និងហេតុសំខាន់ៗ","english_leak","","Master Elf team","open"
"academyIChing","I Ching™","អ៊ីជីង (I Ching)™","english_leak","","Master Elf team","open"
"academyIChingAbout","The 64 hexagrams offer insight into change and outcome. Learn to consult the I Ching for decisions, strategy and personal guidance.","តម្រាអ៊ីជីង ៦៤ ផ្តល់នូវចម្លើយអំពីការផ្លាស់ប្តូរ និងលទ្ធផល។ រៀនពិគ្រោះអ៊ីជីង (I Ching) សម្រាប់ការសម្រេចចិត្ត យុទ្ធសាស្ត្រ និងការណែនាំផ្ទាល់ខ្លួន។","english_leak","","Master Elf team","open"
"consult2Category","Feng Shui Services","សេវាហុងស៊ុយ (Feng Shui)","english_leak","","Master Elf team","open"
"consult2Method","Feng Shui","ហុងស៊ុយ (Feng Shui)","english_leak","","Master Elf team","open"
"consult3Category","Date Selection","ការជ្រើសរើសថ្ងៃ (Date Selection)","english_leak","","Master Elf team","open"
"consult3Method","Xuan Kong","ស៊ួនកុង (Xuan Kong)","english_leak","","Master Elf team","open"
"consult4Category","Qimen and Iching","ឈីមិនទុនជា (Qi Men Dunjia) និងអ៊ីជីង (I Ching)","english_leak","","Master Elf team","open"
"consult4Method","QiMen & I Ching","ឈីមិនទុនជា (Qi Men Dunjia) និងអ៊ីជីង (I Ching)","english_leak","","Master Elf team","open"
"consult4Desc","Face complex decisions with ancient wisdom. QiMen Dunjia and I Ching offer strategic insight and clarity—so you can see your options clearly, anticipate outcomes and choose the move that best serves your goals. Ideal for business, competition and pivotal life choices.","ប្រឈមមុខនឹងការសម្រេចចិត្តស្មុយស្មាញជាមួយបញ្ញាបុរាណ។ ឈីមិនទុនជា (Qi Men Dunjia) និងអ៊ីជីង (I Ching) ផ្តល់នូវការយល់ដឹងយុទ្ធសាស្ត្រ និងភាពច្បាស់—ដើម្បីឱ្យអ្នកឃើញជម្រើសច្បាស់ ព្យាករណ៍លទ្ធផល និងជ្រើសជំហានដែលសមនឹងគោលដៅរបស់អ្នក។","english_leak","","Master Elf team","open"
"consult6Category","Master Elf Publications","វណ្ណកម្មស្នាដៃ Master Elf","english_leak","","Master Elf team","open"
"consult6Question","Books and resources from Master Elf.","សៀវភៅ និងវណ្ណកម្មនានាពី Master Elf។","english_leak","","Master Elf team","open"
"consult6Desc","Dive deeper with Master Elf’s published works on Feng Shui, BaZi and Chinese metaphysics. Our books and resources are designed to support your learning and practice beyond the consultation room.","ស្វែងយល់ជ្រៅទៅក្នុងស្នាដៃដែល Master Elf បោះពុម្ភផ្សាយអំពីហុងស៊ុយ (Feng Shui) ប៉ាជឺ (BaZi) និងរូបវិទ្យាចិនបុរាណ។ សៀវភៅ និងធនធានរបស់យើងរចនាដើម្បីគាំទ្រការរៀន និងអនុវត្តរបស់អ្នកក្រៅពីបន្ទប់ពិគ្រោះ។","english_leak","","Master Elf team","open"
"popupTitle1","Master Elf's","របស់ Master Elf","english_leak","","Master Elf team","open"
"eventsCalendarTitle","Master Elf's Events Calendar","ប្រតិទិនព្រឹត្តិការណ៍របស់ Master Elf","english_leak","","Master Elf team","open"
"eventsDescription","Experience the best event for Feng Shui, Chinese Metaphysics and Astrology in Cambodia—live teachings, expert insights, and a community ready to grow with you.","ជួបបទពិសោធហុងស៊ុយ (Feng Shui) រូបវិទ្យាចិនបុរាណ និងហាស្ត្រូឡូហ្គីដែលល្អបំផុតនៅកម្ពុជា—ការបង្រៀនផ្ទាល់ ការយល់ដឹងអ្នកជំនាញ និងសហគមន៍ត្រៀមរួចរីកចម្រើនជាមួយអ្នក។","english_leak","","Master Elf team","open"
"eventsDescriptionHighlight","best event for Feng Shui, Chinese Metaphysics and Astrology in Cambodia","ព្រឹត្តិការណ៍ហុងស៊ុយ (Feng Shui) រូបវិទ្យាចិនបុរាណ និងហាស្ត្រូឡូហ្គី ដ៏ល្អបំផុតនៅកម្ពុជា","english_leak","","Master Elf team","open"
"eventsPageHeroSubline","Live revelations, online archives, and the next chapter of Master Elf's teaching journey.","ការបញ្ចេញផ្ទាល់ បណ្ណាល័យអនឡាញ និងជំហានបន្ទាប់នៃដំណើរបង្រៀនរបស់ Master Elf។","english_leak","","Master Elf team","open"
"eventsGoat2027Title","Master Elf — Strive for the Year of the Fire Goat 2027","Master Elf — ខិតខំសម្រាប់ឆ្នាំពពែភ្លើង ២០២៧","english_leak","","Master Elf team","open"
"eventsGoat2027Description","Master Elf's signature annual event returns—live teachings, Period 9 strategy, and the roadmap for thriving in the Year of the Fire Goat.","ព្រឹត្តិការណ៍ប្រចាំឆ្នាំរបស់ Master Elf ត្រឡប់មកវិញ—ការបង្រៀនផ្ទាល់ យុគទី ៩ និងផែនទីសម្រាប់រីកចម្រើនក្នុងឆ្នាំពពែភ្លើង។","english_leak","","Master Elf team","open"
"eventsPhoenixRecapBody","Hundreds gathered for Master Elf's most anticipated revelation. The Rise of Phoenix marked a turning point—renewal, transformation, and the framework for rising in Period 9.","រាប់រយនាក់បានជួបជុំសម្រាប់ការបញ្ចេញដែលរង់ចាំច្រើនបំផុតរបស់ Master Elf។ The Rise of Phoenix គឺជាចំណុចបង្វិល—ការធ្វើឱ្យបរិសុទ្ធ ការផ្លាស់ប្តូរ និងគោលការណ៍សម្រាប់កើនឡើងក្នុងយុគទី ៩។","english_leak","","Master Elf team","open"
"event1Subtitle","The Master Revelation — live in Phnom Penh","The Master Revelation — ផ្ទាល់នៅភ្នំពេញ","english_leak","","Master Elf team","open"
"event1Hook","The moment insight became action—Master Elf's defining revelation of 2026.","ពេលវេលាដែលការយល់ដឹងក្លាយជាសកម្មភាព—ការបញ្ចេញសំខាន់របស់ Master Elf ឆ្នាំ ២០២៦។","english_leak","","Master Elf team","open"
"eventsWhyAttendTitle","Why Master Elf events matter","ហេតុអ្វីព្រឹត្តិការណ៍ Master Elf សំខាន់","english_leak","","Master Elf team","open"
"eventsWhyAttend1","Learn directly from Master Elf—live revelations and depth you won't find in books alone.","រៀនផ្ទាល់ពី Master Elf—ការបញ្ចេញផ្ទាល់ និងជម្រៅដែលសៀវភៅមិនអាចផ្តល់បាន។","english_leak","","Master Elf team","open"
"aboutPageTitle","Master Elf | The Rise of Phoenix","Master Elf | ការកើនឡើងរបស់មយូរ៉ា","english_leak","","Master Elf team","open"
"aboutBreadcrumb","About Master Elf.","អំពី Master Elf។","english_leak","","Master Elf team","open"
"journeyStory1","Master Elf is a recognised practitioner of Feng Shui and Chinese Metaphysics, with a following of over 51,000 and a track record of guiding individuals and businesses toward clarity and results. His path did not begin by chance—it began with a calling.","Master Elf គឺជាអ្នកអនុវត្តហុងស៊ុយ និងក្បួនចិនបុរាណដែលទទួលស្គាល់ដោយមានមនុស្សច្រើនជាង ៥១,០០០ នាក់តាមដាន និងកាតព្វកិច្ចណែនាំទាំងបុគ្គល និងអាជីវកម្មឆ្ពោះទៅរកភាពច្បាស់ និងលទ្ធផលល្អ។ ផ្លូវរបស់គាត់មិនមែនចាប់ផ្តើមដោយចៃដន្យនោះទេ—វាចាប់ផ្តើមពីការហៅពីទេវតា។","english_leak","","Master Elf team","open"
"journeyStory3","Today, that method helps clients make better decisions, choose auspicious dates, understand their strengths and align their environments. From destiny readings to strategic date selection and Feng Shui audits, Master Elf's system is designed for real-world impact.","ថ្ងៃនេះ វិធីសាស្រ្តនោះជួយអតិថិជនសម្រេចចិត្តល្អជាង ជ្រើសរើសកាលបរិច្ឆេទរុក្ខជាតិ យល់ចំណុចខ្លាំង និងសម្របបរិស្ថានជុំវិញរបស់ពួកគេ។ ពីការអានវាសនាដល់ការជ្រើសរើសកាលបរិច្ឆេទយុទ្ធសាស្រ្ត និងការត្រវែងហុងស៊ុយ ប្រព័ន្ធរបស់ Master Elf ត្រូវបានរចនាសម្រាប់ផលប៉ះពាល់ពិត។","english_leak","","Master Elf team","open"
"journeyPeriod9Body","We are now in Period 9 (2024–2043), the Li Fire era in the Xuan Kong Nine Periods cycle. This 20-year phase emphasises fire element energy, the south direction, and themes of visibility, progress and inner clarity. Master Elf's practice is aligned with this shift, helping you navigate the new era with timing and placement that match the cosmic cycle.","យើងឥឡូវនៅយុគទី ៩ (Period 9) (២០២៤–២០៤៣) យុគភ្លើង Li ក្នុងវដ្តរយៈកាលប្រាំបួនស៊ួនកុង (Xuan Kong)។ ដំណាក់កាល ២០ ឆ្នាំនេះផ្តោតលើថាមពលធាតុភ្លើង ទិសខាងត្បូង និងចំណុចភាពឃើញ ការរីកចម្រើន និងភាពច្បាស់ខាងក្នុង។","english_leak","","Master Elf team","open"
"journeyPhoenixBody","The Rise of the Phoenix is Master Elf's revelation and the name of his system. It symbolises renewal, transformation and the moment when insight leads to action. In Period 9, the phoenix rises—and with the right knowledge, so can you. His framework integrates BaZi, Qimen Dunjia, I Ching, Date Selection, Feng Shui and Mao Shan into one coherent approach for those ready to rise.","ការកើនឡើងរបស់មយូរ៉ា គឺជាការបង្ហាញរបស់ Master Elf និងឈ្មោះប្រព័ន្ធរបស់គាត់។ វាសម្គាល់ការធ្វើឱ្យបរិសុទ្ធ ការផ្លាស់ប្តូរ និងពេលវេលាដែលការយល់ដឹងនាំទៅរកសកម្មភាព។ ក្នុងយុគទី ៩ ភ្និកស័រកើនឡើង—ហើយជាមួយចំណេះដឹងត្រឹមត្រូវ អ្នកក៏អាចធ្វើបានដែរ។ គោលការណ៍របស់គាត់រួមបញ្ចូលប៉ាជឺ (BaZi) ឈីមិនទុនជា (Qi Men Dunjia) អ៊ីជីង (I Ching) ការជ្រើសរើសថ្ងៃ (Date Selection) ហុងស៊ុយ (Feng Shui) និងម៉ៅសាន (Mao Shan) ជាវិធីសាស្ត្រជាប់លាប់សម្រាប់អ្នកដែលត្រៀមរួចកើនឡើង។","english_leak","","Master Elf team","open"
"methodIntro","Master Elf's system is built on classical Chinese metaphysics. Each discipline is applied with clear formulas and standards so that consultations and training are consistent, explainable and effective. Below is how the main pillars are practiced, calculated and used.","ប្រព័ន្ធរបស់ Master Elf សាងសង់លើរូបវិទ្យាចិនបុរាណ។ រៀងរាល់វិជ្ជាជីវៈត្រូវបានអនុវត្តដោយរូបមន្ត និងស្តង់ដារច្បាស់ ដើម្បីឱ្យការពិគ្រោះ និងការបណ្តុះបណ្តល់មានភាពស្របគ្នា អាចពន្យល់បាន និងមានប្រសិទ្ធភាព។ ខាងក្រោមគឺរបៀបដែលសសរសំខាន់ត្រូវបានអនុវត្ត គណនា និងប្រើ។","english_leak","","Master Elf team","open"
"methodIChingTitle","I Ching (Book of Changes)","អ៊ីជីង (I Ching) — សៀវភៅការផ្លាស់ប្តូរ","english_leak","","Master Elf team","open"
"methodIChingBody","The I Ching is consulted to obtain a hexagram (six lines) that reflects the situation. We use the classical three-coin or yarrow-stalk method: each line is built from bottom to top (6 = transforming yin, 7 = stable yang, 8 = stable yin, 9 = transforming yang). The resulting hexagram and any changing lines are interpreted using the classic text and Master Elf's framework for decisions and direction.","អ៊ីជីង (I Ching) ត្រូវបានពិគ្រោះដើម្បីទទួលហិកសាក្រាម (ប្រាំមួយបន្ទាត់) ដែលឆ្លុះបញ្ចាំងស្ថានភាព។ យើងប្រើវិធីកាក់បី ឬដើមយ៉ារ៉ូបុរាណ៖ រៀងរាល់បន្ទាត់ត្រូវបានសាងពីក្រោមឡើងលើ (៦ = យិនផ្លាស់ប្តូរ, ៧ = យ៉ាងថ្លៃ, ៨ = យិនថ្លៃ, ៩ = យ៉ាងផ្លាស់ប្តូរ)។ ហិកសាក្រាមលទ្ធផល និងបន្ទាត់ផ្លាស់ប្តូរណាមួយត្រូវបានបកស្រាយដោយប្រើអត្ថបទបុរាណ និងគោលការណ៍របស់ Master Elf។","english_leak","","Master Elf team","open"
"methodDateSelectionTitle","Date Selection","ការជ្រើសរើសថ្ងៃ (Date Selection)","english_leak","","Master Elf team","open"
"methodFengShuiTitle","Feng Shui (Xuan Kong Flying Star)","ហុងស៊ុយ (Feng Shui) — តារាហោះហើរស៊ួនកុង (Xuan Kong)","english_leak","","Master Elf team","open"
"methodFengShuiBody","We use Xuan Kong Fei Xing (Flying Star) Feng Shui. The building's period (based on completion year; the Feng Shui year starts 4 February) and facing direction (24 Mountains) determine the Flying Star chart. The nine palaces receive stars that combine with the Lo Shu layout. We assess mountain and water stars, element balance and Period 9 adjustments to recommend placement and remedies.","យើងប្រើហុងស៊ុយ (Feng Shui) តារាហោះហើរស៊ួនកុង (Xuan Kong Fei Xing)។ រយៈកាលអាគារ (ផ្អែកលើឆ្នាំបញ្ចប់; ឆ្នាំហុងស៊ុយចាប់ផ្តើម ៤ កុម្ភៈ) និងទិសដៅមុខ (២៤ ភ្នំ) កំណត់ក្រាហ្វតារាហោះហើរ។ ប្រាង្គប្រាំបួនទទួលផ្កាយដែលរួមបញ្ចូលជាមួយប្លង់ Lo Shu។ យើងវាយតម្លៃផ្កាយភ្នំ និងទឹក តុល្យភាពធាតុ និងការកែតម្រូវយុគទី ៩ ដើម្បីណែនាំការដាក់ និងថ្នាំបន្ថយ។","english_leak","","Master Elf team","open"
"methodMaoShanBody","Mao Shan (Mount Mao) traditions are integrated where appropriate for ritual and practice within Master Elf's system. The methods are applied with respect to classical form and purpose, supporting both spiritual and practical dimensions of Chinese metaphysics as used in his framework.","បែបបទម៉ៅសាន (Mao Shan) ត្រូវបានរួមបញ្ចូលកន្លែងដែលសមរម្យសម្រាប់ពិធីការ និងការអនុវត្តក្នុងប្រព័ន្ធ Master Elf។ វិធីសាស្ត្រត្រូវបានអនុវត្តដោយគោរពទម្រង់ និងគោលបំណងបុរាណ គាំទ្រទាំងវិមាត្រខាងព្រលឹង និងជាក់ស្តែងនៃរូបវិទ្យាចិន។","english_leak","","Master Elf team","open"
"durationHours","{hours}h","{hours}ម៉","english_leak","","Master Elf team","open"
"confirmSessionDuration","{hours}-hour session","វគ្គ {hours} ម៉ោង","english_leak","","Master Elf team","open"
"bookingUntilTime","until {time}","ដល់ {time}","english_leak","","Master Elf team","open"
"contactSubjectFengShui","Feng Shui (Home / Office Alignment)","ហុងស៊ុយ (Feng Shui) — ការសម្របផ្ទះ / ការិយាល័យ","english_leak","","Master Elf team","open"
"contactSubjectDateSelection","Date Selection (Training Specifics)","ការជ្រើសរើសថ្ងៃ (Date Selection) — ព័ត៌មានបណ្តុះបណ្តល់","english_leak","","Master Elf team","open"
"logoPlaceholder","Logo {number}","ឡូហ្គោ {number}","english_leak","","Master Elf team","open"
"event1Title","Master Elf - The Rise of Phoenix 2026","Master Elf - ការកើនឡើងរបស់មយូរ៉ា ២០២៦","english_leak","","Master Elf team","open"
"event1Description","The Master Revelation.","ការបង្ហាញរបស់ Master។","english_leak","","Master Elf team","open"
"event2Location","Resorts World Sentosa, Singapore","Resorts World Sentosa សិង្ហបុរី","english_leak","","Master Elf team","open"
"event3Location","Resorts World Singapore","Resorts World សិង្ហបុរី","english_leak","","Master Elf team","open"
"event4Title","Date Selection Masterclass","ថ្នាក់ជ្រើសរើសថ្ងៃ (Date Selection Masterclass)","english_leak","","Master Elf team","open"
"appointmentsListRange","Showing {start}–{end} of {total}","បង្ហាញ {start}–{end} ក្នុងចំណោម {total}","english_leak","","Master Elf team","open"
"appointmentsListPage","Page {current} of {total}","ទំព័រ {current} ក្នុងចំណោម {total}","english_leak","","Master Elf team","open"
"validationRequired","{field} is required","{field} ត្រូវការ","english_leak","","Master Elf team","open"
"poweredBy","Powered by Stonechat Communications","ដំណើរការដោយ Stonechat Communications","english_leak","","Master Elf team","open"
"tooltipWhatsApp","WhatsApp","WhatsApp","same_as_en","","Master Elf team","open"
"tooltipFacebook","Facebook","Facebook","same_as_en","","Master Elf team","open"
"tooltipInstagram","Instagram","Instagram","same_as_en","","Master Elf team","open"
"tooltipTikTok","TikTok","TikTok","same_as_en","","Master Elf team","open"
"tooltipTelegram","Telegram","Telegram","same_as_en","","Master Elf team","open"
"inspectionStepOf","Step {current} of {total}","ជំហាន {current} ក្នុងចំណោម {total}","english_leak","","Master Elf team","open"
"inspectionSection9","Section 9: Xuan Kong Flying Star","ផ្នែក ៩៖ តារាហោះហើរស៊ួនកុង (Xuan Kong Flying Star)","english_leak","","Master Elf team","open"
"inspectionSection10","Section 10: Eight Mansions Analysis","ផ្នែក ១០៖ ការវិភាគប្រាំបីផ្ទះ (Eight Mansions)","english_leak","","Master Elf team","open"
"inspectionNameHint","e.g. Riverside Shophouse, Tower A Site Visit","ឧ. ផ្ទះហាង Riverside, ការទស្សនាវាល Tower A","english_leak","","Master Elf team","open"
"inspectionGoogleMapsLink","Google Maps Link","តំណភ្ជាប់ Google Maps","english_leak","","Master Elf team","open"
"inspectionJunctionDistance","Distance from building (m) - if T-junction","ចម្ងាយពីអគារ (ម) - បើ T-junction","english_leak","","Master Elf team","open"
"fieldWorkSectionSubline","Office consultations, Mao Shan rituals, and on-site Feng Shui—documented as it happens.","ការពិគ្រោះការិយាល័យ ពិធីម៉ៅសាន (Mao Shan) និងហុងស៊ុយ (Feng Shui) នៅវាល—ឯកសារតាមពេលវេលាពិត។","english_leak","","Master Elf team","open"
"fieldWorkPageTitle","Master Elf in Action","Master Elf ក្នុងសកម្មភាព","english_leak","","Master Elf team","open"
"fieldWorkPillarFengShuiTitle","Feng Shui site visit","ទស្សនាវាលហុងស៊ុយ (Feng Shui)","english_leak","","Master Elf team","open"
"fieldWorkPillarDateSelectionTitle","Date Selection (择日)","ការជ្រើសថ្ងៃ (择日 / Date Selection)","english_leak","","Master Elf team","open"
"fieldWorkPillarBooksSubtitle","Wisdom you can hold—Master Elf publications for deeper study.","ប្រាជ្ញាដែលអ្នកកាន់បាន—សៀវភៅ Master Elf សម្រាប់សិក្សាជ្រៅ។","english_leak","","Master Elf team","open"
"homePublicationsSubline","Master Elf publications — wisdom you can hold.","សៀវភៅ Master Elf —ប្រាជ្ញាដែលអ្នកកាន់បាន។","english_leak","","Master Elf team","open"
"inspectionXuanKongPeriod","Xuan Kong Period","រយៈកាលស៊ួនកុង (Xuan Kong)","english_leak","","Master Elf team","open"
"inspectionConvertedToTrigram","Converted to Trigram","បម្លែងទៅប្រាំបីហ្គ្រាម (Trigram)","english_leak","","Master Elf team","open"
"inspectionHouseGua","House Gua","គួរផ្ទះ (House Gua)","english_leak","","Master Elf team","open"
"inspectionMainEntranceSector","Main Entrance - Eight Mansions sector","ច្រកចូលចម្បង - ប្រាង្គប្រាំបីផ្ទះ (Eight Mansions)","english_leak","","Master Elf team","open"
"inspectionDayMaster","Day Master","ថ្ងៃមេ (Day Master)","english_leak","","Master Elf team","open"
"inspectionPersonalGuaLabel","Personal Gua (Ming Gua)","គួរផ្ទាល់ខ្លួន (Ming Gua)","english_leak","","Master Elf team","open"
"inspectionSolarTerm","Solar Term","វគ្គថ្ងៃ (Solar Term)","english_leak","","Master Elf team","open"
"solarTerm01","Lichun (立春)","Lichun (立春)","same_as_en","","Master Elf team","open"
"solarTerm02","Yushui (雨水)","Yushui (雨水)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm03","Jingzhe (惊蛰)","Jingzhe (惊蛰)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm04","Chunfen (春分)","Chunfen (春分)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm05","Qingming (清明)","Qingming (清明)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm06","Guyu (谷雨)","Guyu (谷雨)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm07","Lixia (立夏)","Lixia (立夏)","same_as_en","","Master Elf team","open"
"solarTerm08","Xiaoman (小满)","Xiaoman (小满)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm09","Mangzhong (芒种)","Mangzhong (芒种)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm10","Xiazhi (夏至)","Xiazhi (夏至)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm11","Xiaoshu (小暑)","Xiaoshu (小暑)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm12","Dashu (大暑)","Dashu (大暑)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm13","Liqiu (立秋)","Liqiu (立秋)","same_as_en","","Master Elf team","open"
"solarTerm14","Chushu (处暑)","Chushu (处暑)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm15","Bailu (白露)","Bailu (白露)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm16","Qiufen (秋分)","Qiufen (秋分)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm17","Hanlu (寒露)","Hanlu (寒露)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm18","Shuangjiang (霜降)","Shuangjiang (霜降)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm19","Lidong (立冬)","Lidong (立冬)","same_as_en","","Master Elf team","open"
"solarTerm20","Xiaoxue (小雪)","Xiaoxue (小雪)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm21","Daxue (大雪)","Daxue (大雪)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm22","Dongzhi (冬至)","Dongzhi (冬至)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm23","Xiaohan (小寒)","Xiaohan (小寒)","same_as_en;english_leak","","Master Elf team","open"
"solarTerm24","Dahan (大寒)","Dahan (大寒)","same_as_en;english_leak","","Master Elf team","open"
